datetime,location,precip,conditions,icon
2023-09-08 02:00:00,"Quận 11, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 11, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 11, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 12, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 12, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 12, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 12, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 12, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận Bình Tân, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận Bình Tân, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận Bình Tân, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận Bình Tân, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận Bình Tân, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận Bình Thạnh, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận Bình Thạnh, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận Bình Thạnh, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận Bình Thạnh, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận Bình Thạnh, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận Gò Vấp, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận Gò Vấp, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận Gò Vấp, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận Gò Vấp, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
